page,route_header,source,destination,total_stations,intermediate_stations
2,1 Budapest — Hegyeshalom — Rajka,Budapest,Rajka,3,['Hegyeshalom']
4,1 Budapest — Hegyeshalom — Rajka,Budapest,Rajka,3,['Hegyeshalom']
6,1 Budapest — Hegyeshalom — Rajka,Budapest,Rajka,3,['Hegyeshalom']
8,1 Budapest — Hegyeshalom — Rajka,Budapest,Rajka,3,['Hegyeshalom']
10,1 Budapest — Hegyeshalom — Rajka,Budapest,Rajka,3,['Hegyeshalom']
12,1 Budapest — Hegyeshalom — Rajka,Budapest,Rajka,3,['Hegyeshalom']
14,1 Budapest — Hegyeshalom — Rajka,Budapest,Rajka,3,['Hegyeshalom']
16,1 Budapest — Hegyeshalom — Rajka,Budapest,Rajka,3,['Hegyeshalom']
18,1 Budapest — Hegyeshalom — Rajka,Budapest,Rajka,3,['Hegyeshalom']
20,1 Budapest — Hegyeshalom — Rajka,Budapest,Rajka,3,['Hegyeshalom']
22,1 Budapest — Hegyeshalom — Rajka,Budapest,Rajka,3,['Hegyeshalom']
24,1 Budapest — Hegyeshalom — Rajka,Budapest,Rajka,3,['Hegyeshalom']
26,1 Rajka — Hegyeshalom — Budapest,Rajka,Budapest,3,['Hegyeshalom']
28,1 Rajka — Hegyeshalom — Budapest,Rajka,Budapest,3,['Hegyeshalom']
30,1 Rajka — Hegyeshalom — Budapest,Rajka,Budapest,3,['Hegyeshalom']
32,1 Rajka — Hegyeshalom — Budapest,Rajka,Budapest,3,['Hegyeshalom']
34,1 Rajka — Hegyeshalom — Budapest,Rajka,Budapest,3,['Hegyeshalom']
36,1 Rajka — Hegyeshalom — Budapest,Rajka,Budapest,3,['Hegyeshalom']
38,1 Rajka — Hegyeshalom — Budapest,Rajka,Budapest,3,['Hegyeshalom']
40,1 Rajka — Hegyeshalom — Budapest,Rajka,Budapest,3,['Hegyeshalom']
42,1 Rajka — Hegyeshalom — Budapest,Rajka,Budapest,3,['Hegyeshalom']
44,1 Rajka — Hegyeshalom — Budapest,Rajka,Budapest,3,['Hegyeshalom']
46,1 Rajka — Hegyeshalom — Budapest,Rajka,Budapest,3,['Hegyeshalom']
48,1 Rajka — Hegyeshalom — Budapest,Rajka,Budapest,3,['Hegyeshalom']
50,2 Budapest — Esztergom,Budapest,Esztergom,2,[]
51,2 Budapest — Esztergom,Budapest,Esztergom,2,[]
52,2 Budapest — Esztergom,Budapest,Esztergom,2,[]
53,2 Budapest — Esztergom,Budapest,Esztergom,2,[]
54,2 Budapest — Esztergom,Budapest,Esztergom,2,[]
55,2 Esztergom — Budapest,Esztergom,Budapest,2,[]
56,2 Esztergom — Budapest,Esztergom,Budapest,2,[]
57,2 Esztergom — Budapest,Esztergom,Budapest,2,[]
58,2 Esztergom — Budapest,Esztergom,Budapest,2,[]
59,2 Esztergom — Budapest,Esztergom,Budapest,2,[]
60,2 Budapest — Esztergom,Budapest,Esztergom,2,[]
61,2 Budapest — Esztergom,Budapest,Esztergom,2,[]
62,2 Budapest — Esztergom,Budapest,Esztergom,2,[]
63,2 Budapest — Esztergom,Budapest,Esztergom,2,[]
64,2 Budapest — Esztergom,Budapest,Esztergom,2,[]
65,2 Esztergom — Budapest,Esztergom,Budapest,2,[]
66,2 Esztergom — Budapest,Esztergom,Budapest,2,[]
67,2 Esztergom — Budapest,Esztergom,Budapest,2,[]
68,2 Esztergom — Budapest,Esztergom,Budapest,2,[]
69,2 Esztergom — Budapest,Esztergom,Budapest,2,[]
70,4 Esztergom — Almásfüzitő[— Komárom],Esztergom,Komárom,3,['Almásfüzitő[']
71,4 Esztergom — Almásfüzitő[— Komárom],Esztergom,Komárom,3,['Almásfüzitő[']
72,4 Esztergom — Almásfüzitő[— Komárom],Esztergom,Komárom,3,['Almásfüzitő[']
76,5 Székesfehérvár — Komárom,Székesfehérvár,Komárom,2,[]
77,5 Komárom — Székesfehérvár,Komárom,Székesfehérvár,2,[]
78,8 Győr — Sopron,Győr,Sopron,2,[]
79,8 Győr — Sopron,Győr,Sopron,2,[]
80,8 Győr — Sopron,Győr,Sopron,2,[]
81,8 Sopron — Győr,Sopron,Győr,2,[]
82,8 Sopron — Győr,Sopron,Győr,2,[]
83,8 Sopron — Győr,Sopron,Győr,2,[]
84,9 Fertőszentmiklós — Pamhagen[— Neusiedl am See],Fertőszentmiklós,Neusiedl am See,3,['Pamhagen[']
86,10 Győr — Celldömölk,Győr,Celldömölk,2,[]
87,10 Győr — Celldömölk,Győr,Celldömölk,2,[]
88,10 Celldömölk — Győr,Celldömölk,Győr,2,[]
89,10 Celldömölk — Győr,Celldömölk,Győr,2,[]
90,11 Győr — Veszprém,Győr,Veszprém,2,[]
91,11 Veszprém — Győr,Veszprém,Győr,2,[]
93,12 Oroszlány — Tatabánya[— Budapest],Oroszlány,Budapest,3,['Tatabánya[']
93,12 Oroszlány — Tatabánya[— Budapest],Oroszlány,Budapest,3,['Tatabánya[']
94,14 Pápa — Csorna,Pápa,Csorna,2,[]
95,14 Csorna — Pápa,Csorna,Pápa,2,[]
96,15 Sopron — Szombathely,Sopron,Szombathely,2,[]
97,15 Sopron — Szombathely,Sopron,Szombathely,2,[]
98,15 Szombathely — Sopron,Szombathely,Sopron,2,[]
99,15 Szombathely — Sopron,Szombathely,Sopron,2,[]
100,16 Hegyeshalom — Szombathely,Hegyeshalom,Szombathely,2,[]
101,16 Hegyeshalom — Szombathely,Hegyeshalom,Szombathely,2,[]
102,16 Szombathely — Hegyeshalom,Szombathely,Hegyeshalom,2,[]
103,16 Szombathely — Hegyeshalom,Szombathely,Hegyeshalom,2,[]
104,17 Szombathely — Nagykanizsa,Szombathely,Nagykanizsa,2,[]
105,17 Szombathely — Nagykanizsa,Szombathely,Nagykanizsa,2,[]
106,17 Nagykanizsa — Szombathely,Nagykanizsa,Szombathely,2,[]
107,17 Nagykanizsa — Szombathely,Nagykanizsa,Szombathely,2,[]
108,18 Szombathely — Kőszeg,Szombathely,Kőszeg,2,[]
108,18 Szombathely — Kőszeg,Szombathely,Kőszeg,2,[]
109,18 Kőszeg — Szombathely,Kőszeg,Szombathely,2,[]
109,18 Kőszeg — Szombathely,Kőszeg,Szombathely,2,[]
120,20 Szombathely — Székesfehérvár[— Budapest],Szombathely,Budapest,3,['Székesfehérvár[']
122,20 Szombathely — Székesfehérvár[— Budapest],Szombathely,Budapest,3,['Székesfehérvár[']
124,20 Szombathely — Székesfehérvár[— Budapest],Szombathely,Budapest,3,['Székesfehérvár[']
126,20 Szombathely — Székesfehérvár[— Budapest],Szombathely,Budapest,3,['Székesfehérvár[']
128,20 Szombathely — Székesfehérvár[— Budapest],Szombathely,Budapest,3,['Székesfehérvár[']
130,21 Szombathely — Szentgotthárd,Szombathely,Szentgotthárd,2,[]
131,21 Szombathely — Szentgotthárd,Szombathely,Szentgotthárd,2,[]
132,21 Szentgotthárd — Szombathely,Szentgotthárd,Szombathely,2,[]
133,21 Szentgotthárd — Szombathely,Szentgotthárd,Szombathely,2,[]
134,23 Zalaegerszeg — Rédics,Zalaegerszeg,Rédics,2,[]
135,25 Celldömölk — Boba — Zalaegerszeg — Bajánsenye[— Hodoš],Celldömölk,Hodo,5,"['Boba', 'Zalaegerszeg', 'Bajánsenye[']"
137,25 Celldömölk — Boba — Zalaegerszeg — Bajánsenye[— Hodoš],Celldömölk,Hodo,5,"['Boba', 'Zalaegerszeg', 'Bajánsenye[']"
139,25 Celldömölk — Boba — Zalaegerszeg — Bajánsenye[— Hodoš],Celldömölk,Hodo,5,"['Boba', 'Zalaegerszeg', 'Bajánsenye[']"
141,25 Celldömölk — Boba — Zalaegerszeg — Bajánsenye[— Hodoš],Celldömölk,Hodo,5,"['Boba', 'Zalaegerszeg', 'Bajánsenye[']"
143,25 Celldömölk — Boba — Zalaegerszeg — Bajánsenye[— Hodoš],Celldömölk,Hodo,5,"['Boba', 'Zalaegerszeg', 'Bajánsenye[']"
155,26 Balatonszentgyörgy — Tapolca — Ukk,Balatonszentgyörgy,Ukk,3,['Tapolca']
156,26 Balatonszentgyörgy — Tapolca — Ukk,Balatonszentgyörgy,Ukk,3,['Tapolca']
157,26 Balatonszentgyörgy — Tapolca — Ukk,Balatonszentgyörgy,Ukk,3,['Tapolca']
158,26 Ukk — Tapolca — Balatonszentgyörgy,Ukk,Balatonszentgyörgy,3,['Tapolca']
159,26 Ukk — Tapolca — Balatonszentgyörgy,Ukk,Balatonszentgyörgy,3,['Tapolca']
160,26 Ukk — Tapolca — Balatonszentgyörgy,Ukk,Balatonszentgyörgy,3,['Tapolca']
161,26 Balatonszentgyörgy — Tapolca — Ukk,Balatonszentgyörgy,Ukk,3,['Tapolca']
162,26 Balatonszentgyörgy — Tapolca — Ukk,Balatonszentgyörgy,Ukk,3,['Tapolca']
163,26 Balatonszentgyörgy — Tapolca — Ukk,Balatonszentgyörgy,Ukk,3,['Tapolca']
164,26 Balatonszentgyörgy — Tapolca — Ukk,Balatonszentgyörgy,Ukk,3,['Tapolca']
165,26 Ukk — Tapolca — Balatonszentgyörgy,Ukk,Balatonszentgyörgy,3,['Tapolca']
166,26 Ukk — Tapolca — Balatonszentgyörgy,Ukk,Balatonszentgyörgy,3,['Tapolca']
167,26 Ukk — Tapolca — Balatonszentgyörgy,Ukk,Balatonszentgyörgy,3,['Tapolca']
168,26 Ukk — Tapolca — Balatonszentgyörgy,Ukk,Balatonszentgyörgy,3,['Tapolca']
169,26 Balatonszentgyörgy — Tapolca — Ukk,Balatonszentgyörgy,Ukk,3,['Tapolca']
169,Érvényes: 2025.VI.21 — VIII.31-ig.,Érvényes,VIII,2,[]
170,26 Balatonszentgyörgy — Tapolca — Ukk,Balatonszentgyörgy,Ukk,3,['Tapolca']
170,Érvényes: 2025.VI.21 — VIII.31-ig.,Érvényes,VIII,2,[]
171,26 Balatonszentgyörgy — Tapolca — Ukk,Balatonszentgyörgy,Ukk,3,['Tapolca']
171,Érvényes: 2025.VI.21 — VIII.31-ig.,Érvényes,VIII,2,[]
172,26 Balatonszentgyörgy — Tapolca — Ukk,Balatonszentgyörgy,Ukk,3,['Tapolca']
172,Érvényes: 2025.VI.21 — VIII.31-ig.,Érvényes,VIII,2,[]
173,26 Ukk — Tapolca — Balatonszentgyörgy,Ukk,Balatonszentgyörgy,3,['Tapolca']
173,Érvényes: 2025.VI.21 — VIII.31-ig.,Érvényes,VIII,2,[]
174,26 Ukk — Tapolca — Balatonszentgyörgy,Ukk,Balatonszentgyörgy,3,['Tapolca']
174,Érvényes: 2025.VI.21 — VIII.31-ig.,Érvényes,VIII,2,[]
175,26 Ukk — Tapolca — Balatonszentgyörgy,Ukk,Balatonszentgyörgy,3,['Tapolca']
175,Érvényes: 2025.VI.21 — VIII.31-ig.,Érvényes,VIII,2,[]
176,26 Ukk — Tapolca — Balatonszentgyörgy,Ukk,Balatonszentgyörgy,3,['Tapolca']
176,Érvényes: 2025.VI.21 — VIII.31-ig.,Érvényes,VIII,2,[]
183,29 Tapolca — Székesfehérvár[— Budapest],Tapolca,Budapest,3,['Székesfehérvár[']
185,29 Tapolca — Székesfehérvár[— Budapest],Tapolca,Budapest,3,['Székesfehérvár[']
187,29 Tapolca — Székesfehérvár[— Budapest],Tapolca,Budapest,3,['Székesfehérvár[']
197,29 Tapolca — Székesfehérvár[— Budapest],Tapolca,Budapest,3,['Székesfehérvár[']
199,29 Tapolca — Székesfehérvár[— Budapest],Tapolca,Budapest,3,['Székesfehérvár[']
201,29 Tapolca — Székesfehérvár[— Budapest],Tapolca,Budapest,3,['Székesfehérvár[']
203,29 Tapolca — Székesfehérvár[— Budapest],Tapolca,Budapest,3,['Székesfehérvár[']
205,Érvényes: 2025.VI.21 — VIII.31-ig.,Érvényes,VIII,2,[]
207,Érvényes: 2025.VI.21 — VIII.31-ig.,Érvényes,VIII,2,[]
209,Érvényes: 2025.VI.21 — VIII.31-ig.,Érvényes,VIII,2,[]
211,Érvényes: 2025.VI.21 — VIII.31-ig.,Érvényes,VIII,2,[]
213,29 Tapolca — Székesfehérvár[— Budapest],Tapolca,Budapest,3,['Székesfehérvár[']
213,Érvényes: 2025.VI.21 — VIII.31-ig.,Érvényes,VIII,2,[]
215,29 Tapolca — Székesfehérvár[— Budapest],Tapolca,Budapest,3,['Székesfehérvár[']
215,Érvényes: 2025.VI.21 — VIII.31-ig.,Érvényes,VIII,2,[]
217,29 Tapolca — Székesfehérvár[— Budapest],Tapolca,Budapest,3,['Székesfehérvár[']
217,Érvényes: 2025.VI.21 — VIII.31-ig.,Érvényes,VIII,2,[]
219,29 Tapolca — Székesfehérvár[— Budapest],Tapolca,Budapest,3,['Székesfehérvár[']
219,Érvényes: 2025.VI.21 — VIII.31-ig.,Érvényes,VIII,2,[]
257,Érvényes: 2025.VI.21 — VIII.31-ig.,Érvényes,VIII,2,[]
