source,destination,total_stations
Budapest,Rajka,3
Rajka,Budapest,3
Budapest,Esztergom,2
Esztergom,Budapest,2
Esztergom,Komárom,3
Székesfehérvár,Komárom,2
Komárom,Székesfehérvár,2
Győr,Sopron,2
Sopron,Győr,2
Fertőszentmiklós,Neusiedl am See,3
Győr,Celldömölk,2
Celldömölk,Győr,2
Győr,Veszprém,2
Veszprém,Győr,2
Oroszlány,Budapest,3
Pápa,Csorna,2
Csorna,Pápa,2
Sopron,Szombathely,2
Szombathely,Sopron,2
Hegyeshalom,Szombathely,2
Szombathely,Hegyeshalom,2
Szombathely,Nagykanizsa,2
Nagykanizsa,Szombathely,2
Szombathely,Kőszeg,2
Kőszeg,Szombathely,2
Szombathely,Budapest,3
Szombathely,Szentgotthárd,2
Szentgotthárd,Szombathely,2
Zalaegerszeg,Rédics,2
Celldömölk,Hodo,5
Balatonszentgyörgy,Ukk,3
Ukk,Balatonszentgyörgy,3
Tapolca,Budapest,3
Kaposvár,Siófok,2
Siófok,Kaposvár,2
Kaposvár,Fonyód,2
Fonyód,Kaposvár,2
Nagyatád,Somogyszob,2
Somogyszob,Nagyatád,2
Balatonfenyves GV,Csisztafürdő,3
Csisztafürdő,Balatonfenyves GV,3
Pécs,Budapest,3
Dombóvár,Gyékényes,2
Gyékényes,Dombóvár,2
Dunaújváros,Budapest,3
Dunaújváros,Simontornya,3
Pusztaszabolcs,Székesfehérvár,3
Székesfehérvár,Pusztaszabolcs,3
Székesfehérvár,Sárbogárd,2
Sárbogárd,Baja,2
Sárbogárd,Székesfehérvár,2
Baja,Sárbogárd,2
Dombóvár,Komló,2
Komló,Dombóvár,2
Dombóvár,Baja,3
Pécs,Szombathely,3
Szentlőrinc,Sellye,2
Sellye,Szentlőrinc,2
Pécs,Beli Manastir,4
Villány,Mohács,2
Mohács,Villány,2
Szob,Budapest,4
Budapest,Vác,3
Vác,Budapest,3
Vác,Balassagyarmat,2
Balassagyarmat,Vác,2
Galgamácsa,Vác,3
Aszód,Ipolytarnóc,3
Ipolytarnóc,Aszód,3
Sátoraljaújhely,Budapest,5
Hatvan,Somoskőújfalu,2
Somoskőújfalu,Hatvan,2
Hatvan,Szolnok,2
Szolnok,Hatvan,2
Gyöngyös,Budapest,3
Vámosgyörk,Szolnok,3
Szolnok,Vámosgyörk,3
Eger,Szilvásvárad,2
Tiszaújváros,Nyékládháza,2
Nyékládháza,Tiszaújváros,2
Hidasnémeti,Budapest,3
Miskolc,Ózd,3
Ózd,Miskolc,3
Miskolc,Tornanádaska,2
Tornanádaska,Miskolc,2
Szerencs,Hidasnémeti,2
Hidasnémeti,Szerencs,2
Kál,Kisújszállás,2
Kisújszállás,Kál,2
Karcag,Tiszafüred,2
Debrecen,Nagykereki,3
Nagykereki,Debrecen,3
Debrecen,Füzesabony,2
Füzesabony,Debrecen,2
Debrecen,Tiszalök,2
Tiszalök,Debrecen,2
Debrecen,Mátészalka,3
Mátészalka,Debrecen,3
Mátészalka,Záhony,2
Záhony,Mátészalka,2
Nyíregyháza,Zajta,3
Zajta,Nyíregyháza,3
Tiborszállás,Mátészalka,2
Mátészalka,Tiborszállás,2
Nyíregyháza,Vásárosnamény,2
Vásárosnamény,Nyíregyháza,2
Tiszalök,Nyíregyháza,3
Békéscsaba,Újszeged,4
Újszeged,Békéscsaba,4
Mezőtúr,Battonya,4
Battonya,Mezőtúr,4
Vésztő,Gyoma,2
Gyoma,Vésztő,2
Békéscsaba,Püspökladány,4
Püspökladány,Békéscsaba,4
Szolnok,Hódmezővásárhely,2
Hódmezővásárhely,Szolnok,2
Szeged,Békéscsaba,2
Békéscsaba,Szeged,2
Szeged,Budapest,3
Budapest,Kecskemét,3
Kecskemét,Budapest,3
Kecskemét,Szolnok,2
Szolnok,Kecskemét,2
Kiskunfélegyháza,Kunszentmárton,2
Kiskunfélegyháza,Orosháza,2
Orosháza,Kiskunfélegyháza,2
Baja,Kiskunhalas,2
Kiskunhalas,Kecskemét,3
Kiskunhalas,Baja,2
