id,name,city,country,operator,source,latitude,longitude
wd_Q21997555,Aba-Sárkeresztúr vasútállomás,Aba,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.023729,18.542433
wd_Q21998903,Abaliget vasútállomás,Abaliget,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.152726,18.075268
wd_Q116978570,Abapuszta megállóhely,,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.709375,21.867027
wd_Q22075340,Abaújkér megállóhely,Abaújkér,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,48.308883333,21.197988888
wd_Q22075333,Abaújszántó vasútállomás,Abaújszántó,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,48.286544444,21.181238888
wd_Q22075334,Abaújszántói fürdő megállóhely,Abaújszántó,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,48.268705555,21.179561111
wd_Q21891724,Abda megállóhely,Abda,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.690741,17.540713
wd_Q21921450,Abony vasútállomás,Abony,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.173179,20.01606
wd_Q21923407,Abonyi út megállóhely,Szolnok,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.206564,20.125062
wd_Q22047683,Abádszalók megállóhely,Abádszalók,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.455329,20.553206
wd_Q22025882,Acsa-Erdőkürt vasútállomás,Acsa,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.801025,19.386081
wd_Q21887974,Acsád vasútállomás,Acsád,Hungary,Győr–Sopron–Ebenfurti Vasút,Wikidata,47.308357,16.734674
wd_Q21997269,Adony vasútállomás,Adony,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.106162,18.84789
wd_Q116978571,Adorjánpuszta megállóhely,,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,46.630917,18.33953
wd_Q22041536,Adács megállóhely,Adács,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.696687,19.9756
wd_Q21876959,Agárd megállóhely,Gárdony,Hungary,MÁV Magyar Államvasutak Zrt.,Wikidata,47.198221,18.606208
